example_id                                            | status  | run_time        |
./spec/views/floors/new.html.erb_spec.rb[1:1]         | passed  | 0.003 seconds   |
./spec/views/floors/show.html.erb_spec.rb[1:1]        | passed  | 0.00604 seconds |
./spec/views/floors/show.html.erb_spec.rb[1:2]        | passed  | 0.01221 seconds |
./spec/views/homes/edit.html.erb_spec.rb[1:1]         | passed  | 0.00527 seconds |
./spec/views/homes/index.html.erb_spec.rb[1:1]        | passed  | 0.00673 seconds |
./spec/views/homes/new.html.erb_spec.rb[1:1]          | passed  | 0.00384 seconds |
./spec/views/homes/show.html.erb_spec.rb[1:1]         | passed  | 0.03158 seconds |
./spec/views/rooms/edit.html.erb_spec.rb[1:1]         | passed  | 0.01378 seconds |
./spec/views/rooms/index.html.erb_spec.rb[1:1]        | passed  | 0.01822 seconds |
./spec/views/rooms/new.html.erb_spec.rb[1:1]          | passed  | 0.00368 seconds |
./spec/views/rooms/show.html.erb_spec.rb[1:1]         | passed  | 0.0096 seconds  |
